PROVIDER ,PRODUCTID,LOAN TYPE,MIN AMT,MAX AMT,TERM,RATE
CETELEM,CETE0003,Prêt Voiture 2nd main mt 36 mois,2500,75000,12,3.9
CETELEM,CETE0003,Prêt Voiture 2nd main mt 36 mois,2500,75000,18,3.9
CETELEM,CETE0003,Prêt Voiture 2nd main mt 36 mois,2500,75000,24,3.9
CETELEM,CETE0003,Prêt Voiture 2nd main mt 36 mois,4000,75000,30,3.9
CETELEM,CETE0003,Prêt Voiture 2nd main mt 36 mois,4000,75000,36,3.9
CETELEM,CETE0003,Prêt Voiture 2nd main mt 36 mois,7000,75000,42,3.9
CETELEM,CETE0003,Prêt Voiture 2nd main mt 36 mois,8500,75000,48,3.9
CETELEM,CETE0003,Prêt Voiture 2nd main mt 36 mois,11500,75000,54,3.9
CETELEM,CETE0003,Prêt Voiture 2nd main mt 36 mois,11500,75000,60,3.9
