PROVIDER ,PRODUCTID,LOAN TYPE,MIN AMT,MAX AMT,TERM,RATE
HELLO BANK,HBNK0002,Voiture occasion,1250,35000,12,3.8
HELLO BANK,HBNK0002,Voiture occasion,1250,35000,18,3.8
HELLO BANK,HBNK0002,Voiture occasion,1250,35000,24,3.8
HELLO BANK,HBNK0002,Voiture occasion,3750,35000,30,3.8
HELLO BANK,HBNK0002,Voiture occasion,3750,35000,36,3.8
HELLO BANK,HBNK0002,Voiture occasion,6250,35000,42,3.8
HELLO BANK,HBNK0002,Voiture occasion,8750,35000,48,3.8
HELLO BANK,HBNK0002,Voiture occasion,12500,35000,54,3.8
HELLO BANK,HBNK0002,Voiture occasion,12500,35000,60,3.8
