PROVIDER ,PRODUCTID,LOAN TYPE,MIN AMT,MAX AMT,TERM,RATE
HELLO BANK,HBNK0001,Voiture,2500,35000,12,2.0
HELLO BANK,HBNK0001,Voiture,2500,35000,18,2.0
HELLO BANK,HBNK0001,Voiture,2500,35000,24,2.0
HELLO BANK,HBNK0001,Voiture,3750,35000,30,2.0
HELLO BANK,HBNK0001,Voiture,3750,35000,36,2.0
HELLO BANK,HBNK0001,Voiture,6250,35000,42,2.0
HELLO BANK,HBNK0001,Voiture,8750,35000,48,2.0
HELLO BANK,HBNK0001,Voiture,12500,35000,54,2.0
HELLO BANK,HBNK0001,Voiture,12500,35000,60,2.0
