PROVIDER ,PRODUCTID,LOAN TYPE,MIN AMT,MAX AMT,TERM,RATE
HELLO BANK,HBNK0004,Pret Personnel,1250,35000,12,6.5
HELLO BANK,HBNK0004,Pret Personnel,1250,35000,18,6.5
HELLO BANK,HBNK0004,Pret Personnel,1250,35000,24,6.5
HELLO BANK,HBNK0004,Pret Personnel,3750,35000,30,6.5
HELLO BANK,HBNK0004,Pret Personnel,3750,35000,36,6.5
HELLO BANK,HBNK0004,Pret Personnel,6250,35000,42,6.5
HELLO BANK,HBNK0004,Pret Personnel,8750,35000,48,6.5
HELLO BANK,HBNK0004,Pret Personnel,12500,35000,54,6.5
HELLO BANK,HBNK0004,Pret Personnel,12500,35000,60,6.5
